"","feature.name","w","rk","z","pval","fdr"
"Zfp385a",55,0.00170503572596646,298.7,2.24589642519888,0.0258871028445616,0.763184874542747
"Gabra2",56,-0.00273295279113295,71.2,-3.56062878716515,0.000752321406147068,0.0638370431204013
"Wdr77",57,0.00066486651416756,2735.3,0.885016755147956,0.383335985483146,0.999843667608648
"Atp5f1",58,-5.66282664866117e-05,7839.4,-0.0590328729230923,0.881844179268793,0.999843667608648
"Sox9",59,0.000522118150081084,3700,0.698079493563369,0.48975680823177,0.999843667608648
"Hnrnpd",60,8.26648310344881e-05,6936.4,0.122103169336753,0.799631035285481,0.999843667608648
"Dynlt1c",61,-0.00013222419306614,7692.3,-0.1583253517119,0.874989243752769,0.999843667608648
"C1d",62,0.000415837249260349,4705.6,0.559314133369869,0.58547922826802,0.999843667608648
"Gm2a",63,-0.000110234349321501,6334.1,-0.129297362026281,0.745553685655693,0.999843667608648
"Krit1",64,0.000368859317057578,5695.3,0.499397765227515,0.661502003401633,0.999843667608648
"Clcn4",65,-0.000279371275456165,5676.5,-0.35099473018734,0.67582049234978,0.999843667608648
"Sema4f",66,-0.00111058760603349,1250.5,-1.43889322437826,0.170512310172208,0.999843667608648
"Myo18a",67,-6.72669540958621e-05,7235.6,-0.073789931390067,0.82331122875759,0.999843667608648
"Sez6",68,-0.00171215621976893,354.6,-2.22475211820744,0.033145398367967,0.741509992883698
"Kat2b",69,-0.000211939797771966,6392,-0.263673122393981,0.746510115367972,0.999843667608648
"Rab5b",70,-0.000536259647402644,4066.6,-0.686923975549755,0.510970060365201,0.999843667608648
"Spg7",71,-0.000339158072601506,5558.9,-0.427162899678499,0.658424499499163,0.999843667608648
"Rpl13",72,0.000946963264380897,1451.4,1.2543201282448,0.218524308417962,0.999843667608648
"Chmp1a",73,-2.87970213881025e-06,7006.3,0.010693705755746,0.804683900194342,0.999843667608648
"Rpa1",74,0.000633660073366245,3254.1,0.845698264041931,0.425707225039233,0.999843667608648
"Tubgcp3",75,-0.000794719666421172,2414.1,-1.0247560787427,0.325565720932248,0.999843667608648
"Oprm1",76,0.00122815549398365,760.7,1.62191138538122,0.11089859394373,0.999843667608648
"Polr3d",77,4.46580726275124e-05,7739.5,0.0726881352995947,0.87188008634492,0.999843667608648
"Ddx3x",78,-0.000520940969062273,4258.5,-0.667656864379359,0.529199637091423,0.999843667608648
"Slc5a5",79,-0.000490548954614833,4400.6,-0.626808801471052,0.548384624879815,0.999843667608648
"Kcnn3",80,0.000108012909591559,7615.9,0.156683657971179,0.859525847356441,0.999843667608648
"Usp32",81,0.000740784384740597,2519.6,0.984839443886808,0.350099708063465,0.999843667608648
"Car4",82,0.00319929063039371,54.3,4.20038259274867,4.32557448777692e-05,0.00763043584734976
"Txnrd3",83,-0.000237687311727129,6216.4,-0.295630870273247,0.736186672910482,0.999843667608648
"Zfp512b",84,-0.000437835151561259,4794.9,-0.558215034511391,0.590318317229829,0.999843667608648
"Dnajc5",85,0.000157916030854984,6711.2,0.220283305181226,0.772967748379471,0.999843667608648
"Tpd52l2",86,-0.000538874818585515,3969.4,-0.68991536366397,0.503541745269069,0.999843667608648
"Fmr1",87,-0.000410540762129905,5178.6,-0.522652737256271,0.625037510874114,0.999843667608648
"Bcl11a",88,0.00420696947256078,22.1,5.52051068858833,5.90499187515332e-08,2.95560028331478e-05
"Pxmp4",89,0.00075537033297357,2553.3,1.00299603736573,0.345716175983441,0.999843667608648
"Dlg3",90,0.000413546581875388,4930.9,0.554975659218196,0.599369514811246,0.999843667608648
"Gnb1l",91,0.000461661387699669,4214,0.619113049471197,0.540723064695508,0.999843667608648
"Mmp11",92,-0.00059024225042062,3382.8,-0.757496877050769,0.449299104453387,0.999843667608648
"Smarcb1",93,-0.000482318939806501,4405.8,-0.615452478140196,0.550867376262608,0.999843667608648
"Hip1r",94,0.000294092494331079,5837.4,0.39972851210472,0.694605170267497,0.999843667608648
"Nsun5",95,-5.00202701545315e-05,6636.9,-0.0515348616228075,0.769941867385354,0.999843667608648
"Top1mt",96,0.000229399101033998,5918.8,0.31458802757237,0.699852756183675,0.999843667608648
"Gm38393",97,0.000419343515481226,4802.4,0.564003896831346,0.588299287670485,0.999843667608648
"Mmp14",98,-0.000171252001295106,7034.5,-0.209106095430759,0.81253654221519,0.999843667608648
"Oxa1l",99,5.12944530036031e-05,6765.5,0.0817936212752241,0.783399737793994,0.999843667608648
"Heatr6",100,-0.000358733290368903,5672.4,-0.453682927130578,0.662966185306526,0.999843667608648
"Ilf2",101,-0.000231222106816413,6343.2,-0.288351891709988,0.74291621198652,0.999843667608648
"Chtop",102,-0.000615906161586056,3425.9,-0.790802675718235,0.4443658409325,0.999843667608648
"Snapin",103,-0.00062408904351139,3458.1,-0.800329716467356,0.445186913207216,0.999843667608648
"Mapk7",104,0.000590923358589426,3395.1,0.788684966736865,0.447362908470811,0.999843667608648
"Epn2",105,-0.000369195923000763,5328.3,-0.467729439007883,0.645010179438908,0.999843667608648
"B9d1",106,0.000687360919217719,2833.2,0.915289463720283,0.384389899741167,0.999843667608648
"Sec24b",107,8.96148215084885e-05,6992.7,0.132137966708006,0.800961232088802,0.999843667608648
"N4bp3",108,0.000155989900000044,7158.4,0.218398424744947,0.813944798512715,0.999843667608648
"Rmnd5b",109,-0.000477324890721658,4402.1,-0.610650116959919,0.552211647760745,0.999843667608648
"Nhp2",110,0.00121729403797705,800.3,1.60838331927074,0.118151313486127,0.9892844767008
"Vps9d1",111,-0.000367734786942101,5354.2,-0.466455283370215,0.649662062741331,0.999843667608648
"Zfp276",112,0.000390874650470887,4844,0.526529844966042,0.601540274688371,0.999843667608648
"Mfsd10",113,-6.87856549463661e-05,6306,-0.0744021375902954,0.736973696282634,0.999843667608648
"Luzp1",114,0.000912428072893241,1681,1.20915533541042,0.247366859956684,0.999843667608648
"Kctd10",115,6.52054404389392e-05,6908.2,0.100707830142677,0.794038473938261,0.999843667608648
"Poldip2",116,0.000498692104330181,4274.7,0.668282835576868,0.531777089311101,0.999843667608648
"Ift20",117,-0.00100935414936758,1565.5,-1.30527104768654,0.21299242347934,0.999843667608648
"Pcbp3",118,0.00109761375171486,1071.7,1.45043239918825,0.159924347178658,0.999843667608648
"Araf",119,-0.00118307121885553,1103.6,-1.53255891018583,0.147669666181193,0.999126570427977
"Cfp",120,0.000774244317743763,2250.8,1.02900240473697,0.32039025686908,0.999843667608648
"Uxt",121,-0.000444588889107098,4622.2,-0.566953659864062,0.578234283242547,0.999843667608648
"Cnnm3",122,0.000877984838633888,1861.7,1.1634680065011,0.266844443008526,0.999843667608648
"Lman2l",123,0.000196940518352893,6598.5,0.272372508809823,0.762360013363017,0.999843667608648
"Mcm3ap",124,-0.000576219577204294,3737.7,-0.738244409685764,0.477045209404706,0.999843667608648
"Pcnt",125,0.000240488201847771,6363.3,0.329918524032563,0.741474121367723,0.999843667608648
"Mxd1",126,0.000509802586934716,3828.7,0.682563890574011,0.501313596964564,0.999843667608648
"Gmcl1",127,0.000144737791994966,6399.8,0.20433349874185,0.746283626590834,0.999843667608648
"Snrnp27",128,-1.20217542367432e-05,7066.6,-0.000442179166199742,0.812332722419658,0.999843667608648
"Ocrl",129,-0.000974822050960539,1578.1,-1.26025277136431,0.219384887910358,0.999843667608648
"Calm1",130,0.000325137250280092,5362.6,0.440775146678426,0.649631337811781,0.999843667608648
"Agpat3",131,0.000246187479138995,5982.7,0.336628358698261,0.705599196006845,0.999843667608648
"Sema6b",132,-0.000675084950853406,3031.8,-0.868265639393891,0.399697844115775,0.999843667608648
"Dpp9",133,-7.3510956322348e-05,6686.5,-0.0828728978302345,0.773755455484049,0.999843667608648
"Ramp2",134,-0.000665790066729227,3193.7,-0.856729184000887,0.416294080061775,0.999843667608648
"Gramd1a",135,-4.45495328243219e-05,7366.1,-0.0436407456502592,0.839142259891893,0.999843667608648
"Hpn",136,0.000287901844930818,5880.4,0.391859068899347,0.699228108050359,0.999843667608648
"Gabrg1",137,-0.000668106108047394,2946.9,-0.859682403257153,0.395711186830978,0.999843667608648
"Ckb",138,0.000129931213926895,6755.9,0.18494774008528,0.775573861139347,0.999843667608648
"Sp1",139,-9.09525989663466e-05,6763.9,-0.104831551333382,0.78701952686275,0.999843667608648
"Myg1",140,0.000195366152235971,6140.8,0.271447362573026,0.719184351660075,0.999843667608648
"Rarg",141,0.000207816642491725,6760.5,0.287147768121173,0.776256653465197,0.999843667608648
"Pfdn5",142,-0.000309345637817026,5882.7,-0.390518880593131,0.702331616665155,0.999843667608648
"Efnb2",143,-0.000560283643089459,3768.7,-0.717985302484108,0.485321962925314,0.999843667608648
"Rrp15",144,-0.000168893594968303,6232.3,-0.206116533587925,0.736516953444159,0.999843667608648
"Rnd2",145,-0.000514952280436546,4361,-0.659614487845578,0.540247661709874,0.999843667608648
"Srr",146,0.000186969365827249,5970.4,0.259154513671264,0.70594175757162,0.999843667608648
"Sync",147,0.000240148168157892,6359.4,0.329349195452954,0.742656574808896,0.999843667608648
"Fndc5",148,-0.00159850183349305,440.9,-2.0771971711385,0.0467988269441681,0.827145658354354
"Fbxo9",149,-0.001035889202858,1392.7,-1.34074550316665,0.193467687001972,0.999843667608648
"Vps50",150,0.000387447729980182,4792.5,0.522238873635054,0.596640743459038,0.999843667608648
"Hars",151,-0.000528538636815852,4051.1,-0.67828632089284,0.504613896789134,0.999843667608648
"Zmat2",152,0.000129713208789707,6681.1,0.184591588549501,0.77053895527163,0.999843667608648
"Smg5",153,-0.000662725644896671,3213.2,-0.851047165986936,0.417311693602609,0.999843667608648
"Cct3",154,-0.000946216900289549,1702.4,-1.22375859676071,0.235905762098807,0.999843667608648
"Glmp",155,0.000218678962403067,5958.5,0.300372688816946,0.705304438989185,0.999843667608648
"Mef2d",156,0.00110292113272514,1027.5,1.45881572379685,0.154462474806853,0.999843667608648
"Snd1",157,0.000632218408829765,3054.8,0.842293815522633,0.413216780646312,0.999843667608648
"Slc19a1",158,-0.000572050551029033,3764.4,-0.733601857712537,0.479729070706911,0.999843667608648
"Kpnb1",159,-0.000461626067730757,4606.2,-0.589300465230276,0.570629538745538,0.999843667608648
