cellnames,dataset,tSNE_1,tSNE_2,KNNpred,SVMpred,IDconsensus,Tom_cells
F1S4_170426_012_H01,T18,-19.27259712,-17.35928894,non appliable,non appliable,Vip Crispld2 Htr2c,non appliable
F1S4_170426_013_A01,T18,-23.55157235,-7.055170007,non appliable,non appliable,Vip Crispld2 Htr2c,non appliable
F1S4_170426_013_E01,T18,-39.65970357,-6.974702067,non appliable,non appliable,Vip Lect1 Oxtr,non appliable
F1S4_170426_013_G01,T18,-36.33106923,-17.35410133,non appliable,non appliable,Vip Crispld2 Kcne4,non appliable
F1S4_170426_014_B01,T18,-17.56890417,-5.317481518,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_170426_014_C01,T18,-20.8420867,-26.25713017,non appliable,non appliable,Vip Crispld2 Htr2c,non appliable
F1S4_170426_014_G01,T18,24.29666056,-34.92959292,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_170426_015_B01,T18,-38.27525639,-9.465596216,non appliable,non appliable,Vip Lect1 Oxtr,non appliable
F1S4_170426_015_D01,T18,2.72945502,14.2969999,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F1S4_170426_015_E01,T18,-3.211525839,18.47494517,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_170426_015_G01,T18,40.21391623,10.00694999,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
F1S4_170426_015_H01,T18,-37.73866097,-11.47559548,non appliable,non appliable,Vip Lect1 Oxtr,non appliable
F1S4_170426_016_A01,T18,25.73982208,-30.03152575,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_170426_016_C01,T18,24.79586091,3.562436563,non appliable,non appliable,Lamp5 Ntn1 Npy2r,non appliable
F1S4_170426_016_G01,T18,-22.73118971,-7.98550558,non appliable,non appliable,Vip Crispld2 Htr2c,non appliable
F1S4_170426_017_B01,T18,-4.400305432,20.8697139,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F1S4_170426_017_C01,T18,10.37580374,-35.4714689,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_170426_017_H01,T18,-26.18326859,-1.843623386,non appliable,non appliable,Vip Rspo1 Itga4,non appliable
F1S4_180108_301_B01,T18,11.91627304,-14.74273814,non appliable,non appliable,Lamp5 Lhx6,non appliable
F1S4_180108_301_C01,T18,11.63192412,-14.70080518,non appliable,non appliable,Lamp5 Lhx6,non appliable
F1S4_180108_301_H01,T18,10.57031492,-15.73840889,non appliable,non appliable,Lamp5 Lhx6,non appliable
F1S4_180108_302_B01,T18,8.241871508,-25.42940852,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180108_302_D01,T18,5.323554689,-27.04933068,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180108_302_E01,T18,1.394372275,-24.54859175,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180108_302_F01,T18,11.60144667,39.39359055,non appliable,non appliable,Vip Igfbp6 Pltp,non appliable
F1S4_180108_302_G01,T18,13.50598999,31.59155275,non appliable,non appliable,Vip Igfbp6 Pltp,non appliable
F1S4_180108_303_A01,T18,-28.11625068,24.84202624,non appliable,non appliable,Vip Rspo4 Rxfp1 Chat,non appliable
F1S4_180108_303_D01,T18,10.64715236,-15.72756796,non appliable,non appliable,Lamp5 Lhx6,non appliable
F1S4_180108_303_E01,T18,-32.12278208,2.199640937,non appliable,non appliable,Vip Rspo4 Rxfp1 Chat,non appliable
F1S4_180108_304_A01,T18,10.68981765,31.304811,non appliable,non appliable,Vip Igfbp6 Pltp,non appliable
F1S4_180108_304_B01,T18,-28.37951175,5.70158326,non appliable,non appliable,Vip Ptprt Pkp2,non appliable
F1S4_180108_304_C01,T18,5.104828174,-26.95087189,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180108_304_E01,T18,19.21164643,-33.54716132,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180108_304_G01,T18,-19.63645288,41.17439518,non appliable,non appliable,Vip Ptprt Pkp2,non appliable
F1S4_180108_304_H01,T18,10.41212789,-15.94553998,non appliable,non appliable,Lamp5 Lhx6,non appliable
F1S4_180124_301_B01,T18,4.272772458,-28.75414292,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_301_E01,T18,19.65840786,-6.89882006,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_301_F01,T18,28.78865734,-4.12104545,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_180124_302_B01,T18,10.85509611,-33.26970202,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_302_F01,T18,19.45148153,-35.5526086,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_303_B01,T18,29.86904174,-3.033035963,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_180124_303_D01,T18,48.86674546,29.17146731,non appliable,non appliable,Lamp5 Krt73,non appliable
F1S4_180124_303_G01,T18,9.259593055,-33.05338542,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_303_H01,T18,48.90369337,32.51239814,non appliable,non appliable,Lamp5 Fam19a1 Pax6,non appliable
F1S4_180124_307_A01,T18,42.71525472,25.53760654,non appliable,non appliable,Lamp5 Fam19a1 Pax6,non appliable
F1S4_180124_307_B01,T18,7.378998896,-29.03095244,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_307_D01,T18,48.10849478,29.35863865,non appliable,non appliable,Lamp5 Krt73,non appliable
F1S4_180124_307_G01,T18,0.279768664,-12.88441443,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_307_H01,T18,-1.35924881,-14.98330861,non appliable,non appliable,Sncg Vip Itih5,non appliable
F1S4_180124_308_A01,T18,6.405256897,-28.99834301,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_308_B01,T18,-36.07985803,33.65690568,non appliable,non appliable,Vip Lmo1 Fam159b,non appliable
F1S4_180124_308_C01,T18,1.21673637,-15.43171459,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_308_E01,T18,15.5762776,9.566570926,non appliable,non appliable,Sncg Gpr50,non appliable
F1S4_180124_308_F01,T18,5.701241929,-10.55639069,non appliable,non appliable,Sncg Vip Itih5,non appliable
F1S4_180124_309_A01,T18,5.56854925,-26.31539939,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_309_B01,T18,1.362269208,-13.71156105,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_309_D01,T18,-0.395109098,-13.46803076,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_309_F01,T18,8.245844883,-31.52673372,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_309_G01,T18,10.56791829,-15.05452389,non appliable,non appliable,Lamp5 Lhx6,non appliable
F1S4_180124_309_H01,T18,0.318822539,-13.40831078,non appliable,non appliable,Sncg Slc17a8,non appliable
F1S4_180124_310_A01,T18,-1.694586953,-41.12502565,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_310_C01,T18,-1.191259358,-50.56791204,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_310_D01,T18,5.724051574,-26.27802093,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_310_E01,T18,5.311408282,-26.85714029,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_310_F01,T18,47.82826707,29.53450247,non appliable,non appliable,Lamp5 Fam19a1 Pax6,non appliable
F1S4_180124_310_G01,T18,38.99801997,-30.89794477,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_311_H01,T18,8.704362208,-32.62747612,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_312_D01,T18,10.42415849,-32.76187935,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_312_F01,T18,7.024177994,-32.17599273,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_180124_313_C01,T18,5.64841492,-25.73335371,non appliable,non appliable,Lamp5 Lsp1,non appliable
