"","feature.name","w","rk","z","pval","fdr"
"Sstr2",9677,0.00216777900291558,191.5,2.47455028543427,0.0216614977309262,0.733761515046864
"Slc6a15",1573,0.0020688329616893,191.9,2.36752506868435,0.0211977439737055,0.828528276595623
"Mgat4c",1570,0.00225643659735663,195.1,2.56680021625366,0.0213601325769204,0.648679416561092
"Cntn4",11503,0.00236689264482226,195.2,2.68939297106201,0.021253287445304,0.558286346122844
"Pde11a",12267,-0.00241949939917275,196.4,-2.46800026793336,0.019661804314262,0.751244071417549
"Gm37864",14226,-0.00231727632318427,196.4,-2.35725072599721,0.0191242801878012,0.873079670529838
"Rcor2",3447,-0.00230933022647016,197,-2.34880306378101,0.0191060892860533,0.87827552557519
"Hdac2",1519,-0.00240695186920319,198.2,-2.45417890345075,0.019570301660877,0.765017792137473
"Gucy2g",10579,0.00225065315996237,199.3,2.56437780880015,0.0220894427558995,0.637620227539997
"E130114P18Rik",16023,-0.0023346087545498,201.5,-2.37675341508497,0.0197054156041147,0.844331802649576
"Nrxn3",11580,0.00208888113832205,203.1,2.38847621184736,0.0226095447478957,0.796721463331182
"Ssh2",7739,-0.00237072733700567,203.4,-2.4129113925958,0.0203593766823404,0.79867169036625
"Lin7a",1575,0.00217894234728629,204.2,2.48465366894877,0.0217570634670573,0.706695189807725
"Grm4",11377,-0.00237210692652205,204.9,-2.41424353088444,0.020573122051441,0.798510390526546
"Dusp23",4028,0.00204272726410514,205.3,2.33837689805985,0.0230973922302041,0.847473472159762
"Sema6d",4274,-0.0023713063728078,207.4,-2.41677709882111,0.0204229074127881,0.798480440600685
"Pianp",5553,0.00207908219121447,207.6,2.37683548311177,0.0236314602344108,0.813092666319533
"LOC102640779",16839,-0.00232426271989763,209.5,-2.36653496948199,0.021187281544536,0.83766604771236
"Edil3",6908,0.00204843561865369,211,2.34431461254579,0.0242846423344455,0.830617298481254
"Gm45464",15543,-0.00231749487590228,211.2,-2.35646905326716,0.0214184760721808,0.851468810166091
"Tram1",3793,0.00221937574346043,211.3,2.52826621714516,0.0233202835886624,0.654138421391638
"As3mt",431,-0.00229551000663031,211.9,-2.33444080603195,0.0211925865749812,0.876129928273324
"C330027C09Rik",6562,-0.00229070363330598,212.3,-2.3288780417748,0.0213584008905826,0.884368878658309
"Hmox1",605,-0.00239046494360781,213.2,-2.43750991098054,0.021786013572781,0.75751200283431
"Rbfox3",3677,-0.00237475071259029,214.9,-2.4188222158391,0.0221666203787817,0.760476010504802
"Fbxl19",5728,-0.002309358004268,214.9,-2.34829929217557,0.0219679123539793,0.849535910610237
"Ankrd50",9263,-0.00239030317979699,215.1,-2.43769776630656,0.021462357895025,0.75583572594528
"Gm37628",14213,-0.00229446991516654,215.3,-2.33314888779016,0.0216447575946096,0.870630161533339
"Dok5",4428,-0.00239420410698039,216,-2.44093703660502,0.0220383696275862,0.757238273473008
"Nav2",10251,-0.00234633077661974,216.7,-2.38776120123292,0.0218968220495033,0.801329500864348
"Tmod1",4732,-0.00235444437310616,217.6,-2.39697757224963,0.0227484832468582,0.779465625585205
"Csrnp3",9236,0.00219043275541504,217.9,2.49567868214402,0.0252604756425924,0.672728456261967
"9430021M05Rik",10469,0.00213604103795523,218.2,2.43905186959005,0.0243311540015048,0.733770325023281
"Lamb1",340,-0.00231269808603543,218.5,-2.35193258640729,0.0220845825174234,0.840452927042903
"Rerg",5504,0.00218826100871879,218.8,2.4949315480373,0.0251804890766127,0.716756847873817
"Itpr1",5471,-0.00250083618747877,220.8,-2.5540482487094,0.022737475510979,0.641333708602685
"Lrfn1",5633,-0.00234900427696211,223.2,-2.39056091801124,0.0228647464972201,0.782619202708954
"Rgs5",4082,0.0020336296566912,229,2.32837517493689,0.0266438434335398,0.806055806871982
"Amz1",9963,-0.00228184314868779,229.9,-2.319062101697,0.0234512012389616,0.866463585405796
"Slc4a4",11151,-0.00232350799611269,231,-2.36322319784777,0.0245924769675785,0.79386569141733
"Fdft1",2192,-0.00247262762770247,231.7,-2.52331557466691,0.0249896251475121,0.657901425622576
"Ociad2",5124,-0.00231033238164653,232.4,-2.34965732211298,0.0236554474717293,0.817090031918646
"Slc24a2",7762,-0.00236761373107043,232.7,-2.41388592295697,0.0237703562106982,0.749616408410499
"Ggps1",2206,0.00205639284677008,234.4,2.35477991527553,0.0278344372116252,0.803765877579836
"Aplp2",6190,-0.00235890237232778,234.6,-2.39966962521953,0.0254280444336518,0.769289303609354
"Cend1",11082,0.0021326107111073,237.2,2.43198186676398,0.0272295899426496,0.726656010444469
"Csmd3",2605,0.00204949820249752,238.1,2.34579564102113,0.028152090394015,0.800767121628651
"Xkr4",10192,0.00217534699132923,238.3,2.47740562708522,0.0274643477563763,0.666987297677628
"Cblb",2762,0.00207085795862237,238.8,2.36898558212165,0.0281800089242573,0.778577283666269
"Lcorl",1183,0.00212564522517631,240.5,2.42645721991033,0.0279194082527188,0.714694528544117
"D430042O09Rik",6499,-0.00228285108141338,240.5,-2.32116207177717,0.0252600239229247,0.85129851606912
"Mical2",7843,-0.00233625100893738,240.7,-2.3776536528372,0.0254523030375023,0.784025171944437
"Brd9",10820,-0.00233539833216567,240.8,-2.37614915435816,0.0266206092921197,0.776365006935915
"Gm37906",14629,-0.00224408139832605,240.9,-2.27759513992835,0.0251807906889669,0.89362521532756
"Kif5c",4110,-0.00232089797948691,241.6,-2.362201622134,0.0258053380045737,0.801265564067604
"Lrrn3",7332,0.00207651732433328,244.4,2.37552926986055,0.02866822518984,0.767988982013851
"Gm43831",14859,-0.00223011849765316,246.1,-2.26357908833283,0.0257454442627079,0.903491261733886
"Homer2",3747,-0.00237899736946048,246.3,-2.42469912390487,0.0266311631625055,0.750838046662526
"Abhd3",288,0.00207305699807995,246.4,2.37279308057036,0.0285010296645802,0.788452224998021
